scrape_date,rank,provider,product_name,aer,duplicate_key
2026-07-02,77,Kent Reliance,Easy Access Savings Account - Issue 16,3.75,Kent Reliance|Easy Access Savings Account - Issue 16|3.75
2026-07-02,78,Kent Reliance,Exclusive Easy Access Account - Issue 16,3.75,Kent Reliance|Exclusive Easy Access Account - Issue 16|3.75
2026-07-02,79,LHV Bank,Easy Access Account,3.75,LHV Bank|Easy Access Account|3.75
2026-07-02,80,Marcus by Goldman Sachs®,Online Savings Account,3.75,Marcus by Goldman Sachs®|Online Savings Account|3.75
2026-07-02,81,United Trust Bank,UTB Easy Access Account,3.75,United Trust Bank|UTB Easy Access Account|3.75
2026-07-02,82,Monument Bank,Limited Access Saver,3.74,Monument Bank|Limited Access Saver|3.74
2026-07-02,83,Atom Bank,Easy Access Account,3.67,Atom Bank|Easy Access Account|3.67
2026-07-02,84,Allica Bank,Easy Access Account,3.65,Allica Bank|Easy Access Account|3.65
2026-07-02,85,Bath BS,Limited Access Account,3.65,Bath BS|Limited Access Account|3.65
2026-07-02,86,Cambridge BS,Your Saver,3.65,Cambridge BS|Your Saver|3.65
2026-07-02,87,Furness BS,Double Access Saver (Issue 2),3.65,Furness BS|Double Access Saver (Issue 2)|3.65
2026-07-02,88,Monzo Bank,Select Access Savings Pot - Max,3.65,Monzo Bank|Select Access Savings Pot - Max|3.65
2026-07-02,89,Monzo Bank,Select Access Savings Pot - Perks,3.65,Monzo Bank|Select Access Savings Pot - Perks|3.65
2026-07-02,90,Saffron BS,Enviro Saver Account Issue 4,3.65,Saffron BS|Enviro Saver Account Issue 4|3.65
2026-07-02,91,Skipton BS,Branch Four Access Saver Issue 1,3.65,Skipton BS|Branch Four Access Saver Issue 1|3.65
2026-07-02,92,Skipton BS,Four Access Saver Issue 1,3.65,Skipton BS|Four Access Saver Issue 1|3.65
2026-07-02,93,Yorkshire Building Society,Easy Access Saver Issue 3,3.65,Yorkshire Building Society|Easy Access Saver Issue 3|3.65
2026-07-02,94,Plum,Easy Access Savings Pocket - Max,3.63,Plum|Easy Access Savings Pocket - Max|3.63
2026-07-02,95,Monument Bank,Easy Access Account,3.62,Monument Bank|Easy Access Account|3.62
2026-07-02,96,Dudley BS,3 Access Bonus Saver,3.60,Dudley BS|3 Access Bonus Saver|3.60
2026-07-02,97,Dudley BS,Branch Instant Access Saver,3.60,Dudley BS|Branch Instant Access Saver|3.60
2026-07-02,98,Dudley BS,Branch Instant Access Saver (Monthly),3.60,Dudley BS|Branch Instant Access Saver (Monthly)|3.60
2026-07-02,99,Loughborough BS,Access x1,3.60,Loughborough BS|Access x1|3.60
2026-07-02,100,Suffolk Building Society,Single Access Saver,3.60,Suffolk Building Society|Single Access Saver|3.60
2026-07-02,101,Brown Shipley,Easy Access Account,3.58,Brown Shipley|Easy Access Account|3.58
2026-07-02,102,Chetwood Bank,Easy Access Account,3.58,Chetwood Bank|Easy Access Account|3.58
2026-07-02,103,Tipton & Coseley BS,Monthly Income Savings Account,3.56,Tipton & Coseley BS|Monthly Income Savings Account|3.56
2026-07-02,104,Darlington BS,Single Access Saver (Issue 4),3.55,Darlington BS|Single Access Saver (Issue 4)|3.55
2026-07-02,105,Teachers BS,Double Access Savings for Teachers (Issue 1),3.55,Teachers BS|Double Access Savings for Teachers (Issue 1)|3.55
2026-07-02,106,Ford Money,Flexible Saver,3.54,Ford Money|Flexible Saver|3.54
2026-07-02,107,Monument Bank,Easy Access Savings,3.52,Monument Bank|Easy Access Savings|3.52
2026-07-02,108,Chip,Chip Instant Access Account,3.51,Chip|Chip Instant Access Account|3.51
2026-07-02,109,Kroo Bank Ltd,Easy Access Account,3.51,Kroo Bank Ltd|Easy Access Account|3.51
2026-07-02,110,Chorley Building Society,Easy Access Saver (1 Withdrawal),3.50,Chorley Building Society|Easy Access Saver (1 Withdrawal)|3.50
2026-07-02,111,Dudley BS,The Bridgnorth Lions Club Saver Issue 3,3.50,Dudley BS|The Bridgnorth Lions Club Saver Issue 3|3.50
2026-07-02,112,Monmouthshire BS,Access Bonus Account - Issue 3,3.50,Monmouthshire BS|Access Bonus Account - Issue 3|3.50
2026-07-02,113,Monument Bank,Limited Access Saver,3.50,Monument Bank|Limited Access Saver|3.50
2026-07-02,114,OakNorth Bank,Easy Access Account,3.50,OakNorth Bank|Easy Access Account|3.50
2026-07-02,115,Teachers BS,Double Access Savings for Everyone (Issue 1),3.50,Teachers BS|Double Access Savings for Everyone (Issue 1)|3.50
2026-07-02,116,Ulster Bank,Loyalty Saver,3.50,Ulster Bank|Loyalty Saver|3.50
2026-07-02,117,Atom Bank,Instant Saver Reward,3.49,Atom Bank|Instant Saver Reward|3.49
2026-07-02,118,Ecology Building Society,Eco Double Access Saver,3.45,Ecology Building Society|Eco Double Access Saver|3.45
2026-07-02,119,Loughborough BS,Access x2,3.45,Loughborough BS|Access x2|3.45
2026-07-02,120,National Savings & Investments,Income Bonds,3.45,National Savings & Investments|Income Bonds|3.45
2026-07-02,121,National Savings & Investments,NS&I Direct Saver,3.45,National Savings & Investments|NS&I Direct Saver|3.45
2026-07-02,122,Newcastle BS,Newcastle Double Access Saver (Issue 4),3.45,Newcastle BS|Newcastle Double Access Saver (Issue 4)|3.45
2026-07-02,123,RateSetter,Easy Access Account,3.45,RateSetter|Easy Access Account|3.45
2026-07-02,124,Saffron BS,Everyday Saver Issue 2,3.45,Saffron BS|Everyday Saver Issue 2|3.45
2026-07-02,125,Saffron BS,Online Saver Issue 1,3.45,Saffron BS|Online Saver Issue 1|3.45
2026-07-02,126,Teachers BS,Easy Access Account,3.45,Teachers BS|Easy Access Account|3.45
2026-07-02,127,Harpenden BS,Online Instant Access (Issue 3),3.40,Harpenden BS|Online Instant Access (Issue 3)|3.40
2026-07-02,128,Tandem Bank,Instant Access Savings Account,3.40,Tandem Bank|Instant Access Savings Account|3.40
2026-07-02,129,Dudley BS,2 Access Bonus Saver Issue 2,3.35,Dudley BS|2 Access Bonus Saver Issue 2|3.35
